RUFF TERRAIN ULTRA - 50-MILE MASTER PLAN - MASTER PLANNING SPREADSHEET
Start Time:,"Friday, Jul 10, 2026 at 08:00 PM"
Total Distance:,49.95 Miles (80.39 km)
Official Cutoff:,NONE (Self-Supported / Personal C-Goal Limit)

--- SECTION 1: SIDE-BY-SIDE AID STATION ARRIVAL TIMELINE (ETA) ---
Checkpoint / Aid Station,Loop #,Cum. Distance (mi),Cum. Distance (km),Optimistic ETA,Optimistic Elapsed,Optimistic Pace,Sub-Goal ETA,Sub-Goal Elapsed,Sub-Goal Pace,Goal ETA,Goal Elapsed,Goal Pace,Max ETA,Max Elapsed,Max Pace
Oeman-Roche Trailhead,Loop 2,25.20,40.55,Sat 01:39 AM,5h 40m,13:39,Sat 02:09 AM,6h 10m,14:48,Sat 02:40 AM,6h 40m,15:57,Sat 03:10 AM,7h 11m,17:06
S 66th St,Loop 2,27.97,45.02,Sat 02:17 AM,6h 17m,13:39,Sat 02:50 AM,6h 51m,14:48,Sat 03:24 AM,7h 24m,15:57,Sat 03:57 AM,7h 58m,17:06
Marshall Mesa Trailhead (L2 Finish / L3 Start),Loop 2,29.97,48.23,Sat 02:41 AM,6h 41m,11:49,Sat 03:16 AM,7h 16m,12:47,Sat 03:51 AM,7h 52m,13:46,Sat 04:27 AM,8h 27m,14:44
S 66th St,Loop 3,31.97,51.45,Sat 03:07 AM,7h 07m,13:09,Sat 03:44 AM,7h 45m,14:07,Sat 04:22 AM,8h 22m,15:06,Sat 04:59 AM,9h 00m,16:04
Oeman-Roche Trailhead,Loop 3,34.74,55.91,Sat 03:48 AM,7h 49m,15:00,Sat 04:29 AM,8h 30m,16:08,Sat 05:10 AM,9h 10m,17:17,Sat 05:50 AM,9h 51m,18:26
Coalton Trailhead,Loop 3,37.24,59.94,Sat 04:26 AM,8h 26m,15:00,Sat 05:09 AM,9h 10m,16:08,Sat 05:53 AM,9h 53m,17:17,Sat 06:36 AM,10h 37m,18:26
High Plains / Coalton TH Parking,Loop 3,40.01,64.40,Sat 05:17 AM,9h 17m,18:27,Sat 06:05 AM,10h 05m,19:55,Sat 06:52 AM,10h 53m,21:23,Sat 07:40 AM,11h 40m,22:51
Greenbelt Plateau Trailhead,Loop 3,42.57,68.51,Sat 05:55 AM,9h 56m,15:00,Sat 06:46 AM,10h 46m,16:08,Sat 07:36 AM,11h 37m,17:17,Sat 08:27 AM,12h 27m,18:26
Marshall Mesa Trailhead (L3 Finish / Out-and-Back Start),Loop 3,44.95,72.35,Sat 06:31 AM,10h 32m,15:00,Sat 07:24 AM,11h 25m,16:08,Sat 08:17 AM,12h 18m,17:17,Sat 09:11 AM,13h 11m,18:26
Outbound Turnaround (Flat Leg),Loop 4,47.45,76.37,Sat 07:15 AM,11h 16m,17:41,Sat 08:12 AM,12h 12m,19:03,Sat 09:08 AM,13h 09m,20:25,Sat 10:05 AM,14h 06m,21:46
Course Finish (Marshall Mesa Trailhead),Loop 4,49.95,80.39,Sat 08:00 AM,12h 00m,17:41,Sat 09:00 AM,13h 00m,19:03,Sat 10:00 AM,14h 00m,20:25,Sat 11:00 AM,15h 00m,21:46


--- SECTION 2: DETAILED SECTOR SPLITS & STRATEGY ---
Sector #,Loop #,Sector Description,Sector Distance (mi),Optimistic Pace,Optimistic Leg Time,Sub-Goal Pace,Sub-Goal Leg Time,Goal Pace,Goal Leg Time,Max Pace,Max Leg Time,Terrain / Strategy Notes
S01,Loop 1,Marshall Mesa Trailhead to S 66th St,2.00,10:28 min/mi,21m,11:27 min/mi,23m,12:25 min/mi,25m,13:24 min/mi,27m,"Hold 4.8 mph (Forward (CCW), Loop 1)"
S02,Loop 1,S 66th St to Oeman-Roche Trailhead,2.78,12:19 min/mi,34m,13:28 min/mi,37m,14:37 min/mi,41m,15:46 min/mi,44m,"Hold 4.1 mph (Forward (CCW), Loop 1)"
S03,Loop 1,Oeman-Roche Trailhead to Coalton Trailhead,2.50,12:19 min/mi,31m,13:28 min/mi,34m,14:37 min/mi,37m,15:46 min/mi,39m,"Hold 4.1 mph (Forward (CCW), Loop 1)"
S04,Loop 1,Coalton Trailhead to High Plains / Coalton TH Parking,2.77,15:46 min/mi,44m,17:14 min/mi,48m,18:43 min/mi,52m,20:11 min/mi,56m,"Hold 3.2 mph (Forward (CCW), Loop 1)"
S05,Loop 1,High Plains / Coalton TH Parking to Greenbelt Plateau Trailhead,2.55,12:19 min/mi,31m,13:28 min/mi,34m,14:37 min/mi,37m,15:46 min/mi,40m,"Hold 4.1 mph (Forward (CCW), Loop 1)"
S06,Loop 1,Greenbelt Plateau Trailhead to Course Finish,2.39,12:19 min/mi,29m,13:28 min/mi,32m,14:37 min/mi,35m,15:46 min/mi,38m,"Hold 4.1 mph (Forward (CCW), Loop 1)"
S07,Loop 2,Marshall Mesa Trailhead to Greenbelt Plateau Trailhead,2.39,13:39 min/mi,33m,14:48 min/mi,35m,15:57 min/mi,38m,17:06 min/mi,41m,"Hold 3.8 mph (🔄 Reverse (CW), Loop 2)"
S08,Loop 2,Greenbelt Plateau Trailhead to High Plains / Coalton TH Parking,2.55,13:39 min/mi,35m,14:48 min/mi,38m,15:57 min/mi,41m,17:06 min/mi,44m,"Hold 3.8 mph (🔄 Reverse (CW), Loop 2)"
S09,Loop 2,High Plains / Coalton TH Parking to Coalton Trailhead,2.77,17:06 min/mi,47m,18:35 min/mi,51m,20:03 min/mi,56m,21:31 min/mi,1h 00m,"Hold 3.0 mph (🔄 Reverse (CW), Loop 2)"
S10,Loop 2,Coalton Trailhead to Oeman-Roche Trailhead,2.50,13:39 min/mi,34m,14:48 min/mi,37m,15:57 min/mi,40m,17:06 min/mi,43m,"Hold 3.8 mph (🔄 Reverse (CW), Loop 2)"
S11,Loop 2,Oeman-Roche Trailhead to S 66th St,2.78,13:39 min/mi,38m,14:48 min/mi,41m,15:57 min/mi,44m,17:06 min/mi,47m,"Hold 3.8 mph (🔄 Reverse (CW), Loop 2)"
S12,Loop 2,S 66th St to Marshall Mesa Trailhead,2.00,11:49 min/mi,24m,12:47 min/mi,26m,13:46 min/mi,27m,14:44 min/mi,29m,"Hold 4.4 mph (🔄 Reverse (CW), Loop 2)"
S13,Loop 3,Marshall Mesa Trailhead to S 66th St,2.00,13:09 min/mi,26m,14:07 min/mi,28m,15:06 min/mi,30m,16:04 min/mi,32m,"Hold 4.0 mph (Forward (CCW), Loop 3)"
S14,Loop 3,S 66th St to Oeman-Roche Trailhead,2.78,15:00 min/mi,42m,16:08 min/mi,45m,17:17 min/mi,48m,18:26 min/mi,51m,"Hold 3.5 mph (Forward (CCW), Loop 3)"
S15,Loop 3,Oeman-Roche Trailhead to Coalton Trailhead,2.50,15:00 min/mi,37m,16:08 min/mi,40m,17:17 min/mi,43m,18:26 min/mi,46m,"Hold 3.5 mph (Forward (CCW), Loop 3)"
S16,Loop 3,Coalton Trailhead to High Plains / Coalton TH Parking,2.77,18:27 min/mi,51m,19:55 min/mi,55m,21:23 min/mi,59m,22:51 min/mi,1h 03m,"Hold 2.8 mph (Forward (CCW), Loop 3)"
S17,Loop 3,High Plains / Coalton TH Parking to Greenbelt Plateau Trailhead,2.55,15:00 min/mi,38m,16:08 min/mi,41m,17:17 min/mi,44m,18:26 min/mi,47m,"Hold 3.5 mph (Forward (CCW), Loop 3)"
S18,Loop 3,Greenbelt Plateau Trailhead to Course Finish,2.39,15:00 min/mi,36m,16:08 min/mi,39m,17:17 min/mi,41m,18:26 min/mi,44m,"Hold 3.5 mph (Forward (CCW), Loop 3)"
S19,Loop 4,Marshall Mesa to Outbound Turnaround (Flat Leg),2.50,17:41 min/mi,44m,19:03 min/mi,48m,20:25 min/mi,51m,21:46 min/mi,54m,Hold 2.9 mph (Late-Race Outbound Flat Leg)
S20,Loop 4,Outbound Turnaround to Course Finish (Inbound Flat),2.50,17:41 min/mi,44m,19:03 min/mi,48m,20:25 min/mi,51m,21:46 min/mi,54m,Hold 2.9 mph (Final Inbound Leg to Finish!)
